timestamp,user_idx,item_idx
1209048319,0,0
1209048739,0,0
1209049275,0,0
1209049984,0,0
1209050581,0,0
1209127051,0,1
1209127369,0,1
1209127587,0,1
1209127823,0,1
1209127964,0,1
1209128208,0,1
1209129995,0,1
1209130218,0,1
1209130494,0,1
1209130617,0,1
1209130793,0,1
1209131112,0,1
1209131279,0,1
1209131690,0,1
1209131923,0,2
1209132212,0,3
1209135605,0,0
1209222694,0,4
1209223082,0,4
1209223479,0,4
1209223908,0,4
1209473677,0,2
1209473915,0,5
1209474104,0,4
1209474497,0,6
1209474710,0,7
1209474958,0,8
1209475237,0,9
1209475684,0,10
1209475876,0,11
1209476272,0,12
1209476501,0,13
1209476778,0,14
1209476995,0,14
1209477456,0,14
1209477813,0,14
1209478330,0,14
1209478798,0,14
1209478985,0,14
1209479349,0,14
1209738398,0,1
1209738716,0,1
1209738934,0,1
1209739170,0,1
1209739311,0,1
1209739555,0,1
1209739817,0,1
1209740040,0,1
1209740316,0,1
1209740439,0,1
1209740615,0,1
1209740935,0,1
1209741102,0,1
1209741512,0,1
1209904994,0,14
1209905312,0,14
1209905771,0,14
1209906129,0,14
1209906646,0,14
1209907114,0,14
1209907300,0,14
1209907664,0,14
1209908551,0,14
1209909074,0,14
1209909270,0,14
1209909640,0,14
1209909969,0,14
1209910287,0,14
1209910746,0,14
1209911104,0,14
1209911620,0,14
1209912088,0,14
1209912275,0,14
1209912639,0,14
1209913525,0,14
1209914049,0,14
1209914245,0,14
1209914614,0,14
1209914976,0,14
1209915438,0,14
1209915793,0,14
1209916200,0,4
1209916498,0,4
1209917921,0,4
1209918178,0,4
1209918662,0,4
1209919048,0,4
1209919446,0,4
1210000287,0,0
1210000572,0,0
1210000721,0,0
1210001273,0,0
1210001652,0,15
1210002092,0,15
1210002441,0,15
1210002785,0,15
1210003147,0,15
1210003307,0,15
1210003707,0,15
1210004077,0,15
1210077357,0,15
1210077757,0,15
1210078106,0,15
1210078450,0,15
1210078812,0,15
1210078972,0,15
1210079372,0,15
1210079742,0,15
1210080053,0,15
1210080418,0,15
1210080708,0,15
1210080991,0,15
1210081392,0,15
1210081741,0,15
1210082084,0,15
1210082446,0,15
1210082606,0,15
1210083006,0,15
1210083377,0,15
1210083688,0,15
1210084052,0,15
1210084343,0,15
1210084869,0,15
1210085619,0,15
1210086324,0,15
1210086484,0,15
1210087255,0,15
